Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;26;Inter;;1. Champions Lg;14;10;853;9.5;9;0;9;8;1;1;2;0;4.8;4.0;0.9;5.0;10;25;43;0.95;0.00;0.95;0.84;0.84;0.51;0.10;0.60;0.42;0.52;Matches;25;3;5
2024-2025;26;Inter;it ITA;Coppa Italia;2;1;118;1.3;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;26;Inter;it ITA;1. Serie A;31;31;2,564;28.5;12;3;15;12;0;0;1;0;13.5;13.5;4.3;17.8;34;68;197;0.42;0.11;0.53;0.42;0.53;0.47;0.15;0.62;0.47;0.62;Matches;77;8;22
2024-2025;26;Inter;it ITA;Supercoppa;2;2;180;2.0;1;0;1;1;0;0;0;0;;;;;;;;0.50;0.00;0.50;0.50;0.50;;;;;;Matches;;;
