Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;31;Bayern Munich;de GER;1. Bundesliga;31;28;2381;26.5;26;9;35;17;9;9;5;0;20.3;13.3;5.3;18.6;29;97;143;0.98;0.34;1.32;0.64;0.98;0.77;0.20;0.97;0.50;0.70;Matches;89;21;36
2024-2025;31;Bayern Munich;;1. Champions Lg;13;13;1119;12.4;11;2;13;7;4;4;1;0;10.3;7.5;1.6;9.1;13;34;63;0.88;0.16;1.05;0.56;0.72;0.83;0.13;0.96;0.60;0.74;Matches;37;5;13
2024-2025;31;Bayern Munich;de GER;DFB-Pokal;2;1;73;0.8;1;1;2;1;0;0;0;0;;;;;;;;1.23;1.23;2.47;1.23;2.47;;;;;;Matches;;;
