Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;24;Real Madrid;;1. Champions Lg;12;12;1,103;12.3;8;2;10;7;1;2;4;0;6.7;5.1;3.8;8.9;82;28;122;0.65;0.16;0.82;0.57;0.73;0.54;0.31;0.85;0.42;0.72;Matches;52;9;16
2024-2025;24;Real Madrid;es ESP;Copa del Rey;6;4;468;5.2;1;2;3;1;0;0;1;0;;;;;;;;0.19;0.38;0.58;0.19;0.58;;;;;;Matches;;;
2024-2025;24;Real Madrid;es ESP;1. La Liga;30;24;2,253;25.0;11;8;19;9;2;3;8;1;10.4;8.2;8.0;16.2;169;85;256;0.44;0.32;0.76;0.36;0.68;0.41;0.32;0.73;0.33;0.65;Matches;135;18;36
2024-2025;24;Real Madrid;;Super Cup;1;1;87;1.0;0;1;1;0;0;0;1;0;;;;;;;;0.00;1.03;1.03;0.00;1.03;;;;;;Matches;;;
2024-2025;24;Real Madrid;es ESP;Supercopa de España;2;2;162;1.8;0;1;1;0;0;0;1;0;;;;;;;;0.00;0.56;0.56;0.00;0.56;;;;;;Matches;;;
