Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;24;Paris S-G;;1. Champions Lg;17;16;1,447;16.1;2;2;4;1;1;2;0;0;2.3;0.7;2.1;2.8;24;103;21;0.12;0.12;0.25;0.06;0.19;0.15;0.13;0.28;0.05;0.18;Matches;58;8;21
2024-2025;24;Paris S-G;fr FRA;Coupe de France;5;3;348;3.9;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;24;Paris S-G;fr FRA;1. Ligue 1;29;20;2,042;22.7;5;1;6;3;2;2;1;0;3.4;1.8;2.6;4.4;53;224;57;0.22;0.04;0.26;0.13;0.18;0.15;0.11;0.27;0.08;0.20;Matches;73;4;37
2024-2025;24;Paris S-G;fr FRA;Trophée des Champions;1;1;90;1.0;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
