Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;24;Manchester City;;1. Champions Lg;9;9;769;8.5;8;0;8;6;2;3;0;0;9.0;6.7;0.3;7.1;8;9;32;0.94;0.00;0.94;0.70;0.70;1.06;0.04;1.10;0.79;0.83;Matches;13;2;4
2024-2025;24;Manchester City;eng ENG;EFL Cup;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;Matches;;;
2024-2025;24;Manchester City;eng ENG;FA Community Shield;1;1;90;1.0;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;24;Manchester City;eng ENG;FA Cup;3;2;182;2.0;1;1;2;1;0;1;0;0;;;;;;;;0.49;0.49;0.99;0.49;0.99;;;;;;Matches;;;
2024-2025;24;Manchester City;eng ENG;1. Premier League;31;31;2,736;30.4;22;3;25;19;3;4;2;0;22.0;18.8;3.0;21.8;24;20;124;0.72;0.10;0.82;0.62;0.72;0.72;0.10;0.82;0.62;0.72;Matches;71;9;8
