Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;17;Barcelona;;1. Champions Lg;13;13;1094;12.2;5;3;8;5;0;0;0;0;4.2;4.2;2.1;6.3;74;62;152;0.41;0.25;0.66;0.41;0.66;0.35;0.18;0.53;0.35;0.53;Matches;58;11;34
2024-2025;17;Barcelona;es ESP;Copa del Rey;5;5;462;5.1;2;5;7;2;0;0;0;0;;;;;;;;0.39;0.97;1.36;0.39;1.36;;;;;;Matches;;;
2024-2025;17;Barcelona;es ESP;1. La Liga;35;31;2856;31.7;9;13;22;9;0;0;3;0;9.8;9.8;13.9;23.8;181;160;433;0.28;0.41;0.69;0.28;0.69;0.31;0.44;0.75;0.31;0.75;Matches;188;29;95
2024-2025;17;Barcelona;es ESP;Supercopa de España;2;2;120;1.3;2;0;2;2;0;0;0;0;;;;;;;;1.50;0.00;1.50;1.50;1.50;;;;;;Matches;;;
