Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;19;Paris S-G;;1. Champions Lg;16;8;740;8.2;5;3;8;5;0;0;1;0;2.7;2.7;2.5;5.2;52;27;64;0.61;0.36;0.97;0.61;0.97;0.34;0.32;0.67;0.34;0.67;Matches;35;4;11
2024-2025;19;Paris S-G;fr FRA;Coupe de France;6;6;471;5.2;4;5;9;4;0;0;0;0;;;;;;;;0.76;0.96;1.72;0.76;1.72;;;;;;Matches;;;
2024-2025;19;Paris S-G;fr FRA;1. Ligue 1;31;18;1,73;19.2;6;6;12;6;0;0;1;0;5.1;5.1;7.8;13.0;97;139;232;0.31;0.31;0.62;0.31;0.62;0.27;0.41;0.67;0.27;0.67;Matches;109;24;51
2024-2025;19;Paris S-G;fr FRA;Trophée des Champions;1;1;71;0.8;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
