Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;27;Barcelona;;1. Champions Lg;14;14;1,222;13.6;13;8;21;13;0;0;0;0;5.9;5.9;7.4;13.2;46;58;145;0.96;0.59;1.55;0.96;1.55;0.44;0.56;1.00;0.44;1.00;Matches;76;12;25
2024-2025;27;Barcelona;es ESP;Copa del Rey;5;5;420;4.7;1;4;5;1;0;0;2;0;;;;;;;;0.21;0.86;1.07;0.21;1.07;;;;;;Matches;;;
2024-2025;27;Barcelona;es ESP;1. La Liga;36;32;2,839;31.5;18;9;27;16;2;2;4;0;19.2;17.6;12.7;30.3;94;135;349;0.57;0.29;0.86;0.51;0.79;0.61;0.40;1.01;0.56;0.96;Matches;163;22;67
2024-2025;27;Barcelona;es ESP;Supercopa de España;2;2;168;1.9;2;1;3;2;0;0;1;0;;;;;;;;1.07;0.54;1.61;1.07;1.61;;;;;;Matches;;;
