Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;25;Paris S-G;;1. Champions Lg;17;17;1540;17.1;4;5;9;4;0;0;3;0;3.2;3.2;4.6;7.8;75;110;160;0.23;0.29;0.53;0.23;0.53;0.19;0.27;0.46;0.19;0.46;Matches;77;5;25
2024-2025;25;Paris S-G;fr FRA;Coupe de France;5;4;406;4.5;1;1;2;1;0;0;0;0;;;;;;;;0.22;0.22;0.44;0.22;0.44;;;;;;Matches;;;
2024-2025;25;Paris S-G;fr FRA;1. Ligue 1;25;24;2066;23.0;4;6;10;4;0;0;4;0;2.9;2.9;6.2;9.1;93;183;273;0.17;0.26;0.44;0.17;0.44;0.13;0.27;0.40;0.13;0.40;Matches;104;11;37
2024-2025;25;Paris S-G;fr FRA;Trophée des Champions;1;1;90;1.0;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
