Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;22;Chelsea;;3. Conf Lg;6;4;350;3.9;0;3;3;0;0;0;1;0;1.2;1.2;2.0;3.2;21;26;33;0.00;0.77;0.77;0.00;0.77;0.30;0.52;0.82;0.30;0.82;Matches;16;4;10
2024-2025;22;Chelsea;eng ENG;EFL Cup;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;Matches;;;
2024-2025;22;Chelsea;eng ENG;FA Cup;1;1;90;1.0;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;22;Chelsea;eng ENG;1. Premier League;37;36;3,191;35.5;15;8;23;11;4;5;7;0;17.3;13.3;10.9;24.2;120;214;187;0.42;0.23;0.65;0.31;0.54;0.49;0.31;0.79;0.38;0.68;Matches;202;15;64
