Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;26;Sporting CP;;1. Champions Lg;8;6;608;6.8;6;1;7;4;2;2;1;0;4.5;3.0;1.7;4.7;29;12;64;0.89;0.15;1.04;0.59;0.74;0.67;0.25;0.92;0.45;0.70;Matches;26;1;7
2024-2025;26;Sporting CP;pt POR;1. Primeira Liga;33;31;2804;31.2;39;7;46;27;12;12;4;0;30.8;21.4;7.1;28.5;133;68;335;1.25;0.22;1.48;0.87;1.09;0.99;0.23;1.22;0.69;0.92;Matches;154;31;31
