Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;25;Arsenal;;1. Champions Lg;13;12;1,002;11.1;4;2;6;4;0;0;3;0;1.8;1.8;1.2;3.0;23;62;27;0.36;0.18;0.54;0.36;0.54;0.16;0.11;0.27;0.16;0.27;Matches;27;4;4
2024-2025;25;Arsenal;eng ENG;EFL Cup;3;3;241;2.7;1;1;2;1;0;0;0;0;;;;;;;;0.37;0.37;0.75;0.37;0.75;;;;;;Matches;;;
2024-2025;25;Arsenal;eng ENG;FA Cup;1;0;48;0.5;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;25;Arsenal;eng ENG;1. Premier League;35;33;2,825;31.4;4;7;11;4;0;0;7;1;3.5;3.5;6.6;10.1;90;192;94;0.13;0.22;0.35;0.13;0.35;0.11;0.21;0.32;0.11;0.32;Matches;111;10;35
