Jogador;Minutos;G-PK;Ast;npxG;xAG;Sh;Dist;PrgR;PrgC;PrgP;SCA;GCA;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Aerial Duels Won;Aerial Duels Lost
Vitor Roque;1902;15;3;11.5;2.6;73;15.3;144;54;31;86;7;2;24;178;412;128;17;54
Jose Lopez;1657;8;2;8.8;2.1;75;17.5;81;43;55;53;9;16;49;303;342;105;80;76
