Jogador;Minutos;TklW;Int;Blocks;PassBlocks;Cmp;Cmp%;PrgC;PrgP;PPA;Crosses;SCA;CrsPA;GCA
Alex Sandro;959;5;14;11;7;688;88.7;24;89;9;17;24;3;2
Ayrton Lucas;527;14;3;3;3;387;91.7;16;44;4;8;15;3;1
Matías Vina;199;3;1;2;2;127;84.1;8;12;2;5;5;0;1
Wesley;408;20;12;10;9;559;84.7;35;46;17;50;28;7;4
