Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;27;Paris S-G;;1. Champions Lg;15;13;1158;12.9;8;6;14;8;0;0;2;1;8.1;8.1;3.7;11.8;89;87;138;0.62;0.47;1.09;0.62;1.09;0.65;0.29;0.94;0.65;0.94;Matches;80;9;28
2024-2025;27;Paris S-G;fr FRA;Coupe de France;4;3;329;3.7;3;1;4;3;0;0;0;0;;;;;;;;0.82;0.27;1.09;0.82;1.09;;;;;;Matches;;;
2024-2025;27;Paris S-G;fr FRA;1. Ligue 1;29;20;1730;19.2;21;6;27;20;1;1;1;0;16.6;15.8;8.2;24.0;127;137;252;1.09;0.31;1.40;1.04;1.35;0.86;0.43;1.29;0.82;1.25;Matches;110;15;55
2024-2025;27;Paris S-G;fr FRA;Trophée des Champions;1;1;90;1.0;1;0;1;1;0;0;0;0;;;;;;;;1.00;0.00;1.00;1.00;1.00;;;;;;Matches;;;
