Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;23;Paris S-G;;1. Champions Lg;9;8;733;8.1;3;2;5;3;0;0;1;0;2.0;2.0;1.5;3.5;54;26;65;0.37;0.25;0.61;0.37;0.61;0.25;0.19;0.43;0.25;0.43;Matches;44;8;10
2024-2025;23;Napoli;it ITA;Coppa Italia;2;1;135;1.5;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;23;Paris S-G;fr FRA;Coupe de France;2;2;151;1.7;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
2024-2025;23;Paris S-G;fr FRA;1. Ligue 1;14;11;916;10.2;4;3;7;4;0;0;0;0;3.3;3.3;4.9;8.2;50;43;131;0.39;0.29;0.69;0.39;0.69;0.32;0.48;0.80;0.32;0.80;Matches;60;8;20
2024-2025;23;Napoli;it ITA;1. Serie A;17;15;1178;13.1;5;3;8;4;1;1;1;0;4.1;3.4;3.7;7.0;74;57;89;0.38;0.23;0.61;0.31;0.53;0.32;0.28;0.60;0.26;0.54;Matches;57;6;23
