Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;21;Real Madrid;;1. Champions Lg;13;13;1131;12.6;3;3;6;3;0;0;3;0;3.8;3.8;2.2;6.0;23;78;47;0.24;0.24;0.48;0.24;0.48;0.31;0.18;0.49;0.31;0.49;Matches;39;6;10
2024-2025;21;Real Madrid;es ESP;Copa del Rey;4;3;360;4.0;1;1;2;1;0;0;1;1;;;;;;;;0.25;0.25;0.50;0.25;0.50;;;;;;Matches;;;
2024-2025;21;Real Madrid;es ESP;1. La Liga;31;29;2488;27.6;9;8;17;8;1;2;5;1;11.4;9.9;3.9;13.7;74;199;143;0.33;0.29;0.61;0.29;0.58;0.41;0.14;0.55;0.36;0.50;Matches;105;13;31
2024-2025;21;Real Madrid;;Super Cup;1;1;88;1.0;0;1;1;0;0;0;1;0;;;;;;;;0.00;1.02;1.02;0.00;1.02;;;;;;Matches;;;
2024-2025;21;Real Madrid;es ESP;Supercopa de España;2;2;180;2.0;1;0;1;1;0;0;1;0;;;;;;;;0.50;0.00;0.50;0.50;0.50;;;;;;Matches;;;
