Season;Age;Squad;Country;Comp;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;SCA;GCA;PPA
2024-2025;21;Leverkusen;de GER;1. Bundesliga;31;25;2351;26.1;10;12;22;8;2;4;3;0;9.4;6.1;7.0;13.1;131;176;309;0.38;0.46;0.84;0.31;0.77;0.36;0.27;0.63;0.23;0.50;Matches;148;26;65
2024-2025;21;Leverkusen;;1. Champions Lg;9;9;759;8.4;6;1;7;5;1;1;2;0;3.6;2.8;2.2;5.1;28;53;74;0.71;0.12;0.83;0.59;0.71;0.43;0.26;0.69;0.34;0.60;Matches;43;4;12
2024-2025;21;Leverkusen;de GER;DFB-Pokal;4;2;255;2.8;0;1;1;0;0;0;2;0;;;;;;;;0.00;0.35;0.35;0.00;0.35;;;;;;Matches;;;
2024-2025;21;Leverkusen;de GER;DFL-Supercup;1;0;48;0.5;0;0;0;0;0;0;1;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;;Matches;;;
