Jogador;Minutos;TklW;Int;Blocks;PassBlocks;Cmp;Cmp%;PrgC;PrgP;PPA;Crosses;SCA;CrsPA;GCA
G Escobar;1452;45;31;22;16;676;81.3;22;63;15;40;32;10;0
Souza;764;20;10;9;4;298;79.5;15;24;5;21;8;4;3
