VR+FL;26
Palmeiras;58
Flamengo;64
Cruzeiro;46
Mirassol;54
Bahia;44
Botafogo;44
Fluminense;38
São Paulo;37
Atlético MG;34
Vasco;50
Bragantino;38
Ceará;31
Corinthians;35
Grêmio;35
Internacional;37
Vitória;29
Santos;33
Juventude;29
Fortaleza;31
Sport;24
